label,n_observations,run,shared_all_local_log_likelihood,local_all_local_log_likelihood,invalid_shared_k,valid_shared_all_local_k,local_k,invalid_shared_bic,local_bic,invalid_shared_bic_weight
INVALID: all-local optimization with shared-model penalty,5,22,4.960653781890869,6.150258541107178,6,10,10,-0.26468008917713703,3.793862042126648,0.8838362593781258
INVALID: all-local optimization with shared-model penalty,5,23,3.5630788803100586,1.8780239820480347,6,10,10,2.530469713984484,12.338331160244934,0.9926372422327328
INVALID: all-local optimization with shared-model penalty,5,24,4.065201759338379,4.660205841064453,6,10,10,1.5262239559278434,6.773967442212097,0.9323822118954039
INVALID: all-local optimization with shared-model penalty,5,25,2.759232997894287,0.8730448484420776,6,10,10,4.138161478816027,14.348289427456848,0.9939706230663937
INVALID: all-local optimization with shared-model penalty,5,26,4.916535377502441,4.2449541091918945,6,10,10,-0.17644328040028157,7.604470905957214,0.979973263692884
INVALID: all-local optimization with shared-model penalty,5,27,4.300711631774902,2.6070055961608887,6,10,10,1.0552042110547966,10.880367932019226,0.9927002007676563
INVALID: all-local optimization with shared-model penalty,5,28,5.008559226989746,4.371057033538818,6,10,10,-0.36049097937489094,7.3522650572633665,0.9792933841255925
INVALID: all-local optimization with shared-model penalty,5,29,4.610528469085693,2.9042763710021973,6,10,10,0.43557053643321453,10.285826382336609,0.9927905562490936
INVALID: all-local optimization with shared-model penalty,5,30,1.6744877099990845,-0.36335670948028564,6,10,10,6.307652054606432,16.821092543301575,0.9948146559206867
INVALID: all-local optimization with shared-model penalty,5,31,2.842258930206299,1.0375248193740845,6,10,10,3.9721096141920036,14.019329485592834,0.9934622950816201
INVALID: all-local optimization with shared-model penalty,5,32,4.674500465393066,3.185786724090576,6,10,10,0.30762654381846843,9.722805676159851,0.9910542398028568
INVALID: all-local optimization with shared-model penalty,5,33,4.736783504486084,3.7925639152526855,6,10,10,0.18306046563243328,8.509251293835632,0.9846790626184596
INVALID: all-local optimization with shared-model penalty,5,34,4.29399299621582,3.419571876525879,6,10,10,1.0686414821729606,9.255235371289245,0.9835896562978238
