method,sde,time_grid,timesteps,theta_index,theta_true,theta_mode,analytic_log_prob,method_log_prob,absolute_log_prob_error,median_runtime_seconds
DPM-2 + KDE,VESDE,log_sigma,10,8,-2.7305539,-2.3484304,0.4312535718092801,0.36941941050235333,0.06183416130692676,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,9,-2.0067704,-2.2441282,0.4312535718092801,0.3345326530884539,0.09672091872082617,0.005571951903402805
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,0,-2.0590172,-2.1671157,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,1,-2.24755,-2.1222744,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,2,-2.2733066,-2.4073713,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,3,-2.4841154,-2.3091683,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,4,-2.2861452,-2.2408478,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,5,-2.7104778,-2.419225,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,6,-2.1987514,-2.1505857,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,7,-1.9966652,-2.1117482,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,8,-2.7305539,-2.3484304,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,9,-2.0067704,-2.2441282,0.4312535718092801,0.5786848060899143,0.14743123428063426,0.0006131612928584218
Euler PF-ODE + KDE,VESDE,log_sigma,10,0,-2.0590172,-2.1671157,0.4312535718092801,0.5603970203882709,0.1291434485789908,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,1,-2.24755,-2.1222744,0.4312535718092801,0.5866441891501959,0.1553906173409158,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,2,-2.2733066,-2.4073713,0.4312535718092801,0.5860308219084253,0.15477725009914517,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,3,-2.4841154,-2.3091683,0.4312535718092801,0.5808049371846301,0.14955136537535002,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,4,-2.2861452,-2.2408478,0.4312535718092801,0.5741690960133309,0.1429155242040508,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,5,-2.7104778,-2.419225,0.4312535718092801,0.6122264078059121,0.180972835996632,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,6,-2.1987514,-2.1505857,0.4312535718092801,0.6508272806686322,0.21957370885935207,0.00176249120850116
