true_model,run_index,selected_model,correct,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra,aic_Logistic Prey,aic_Satiated Predator,aic_Rosenzweig-MacArthur,aic_Lotka-Volterra
Rosenzweig-MacArthur,12,Rosenzweig-MacArthur,True,0.44934325851500034,0.0,99.55065250396729,0.0,204.03341674804688,-103.48690032958984,209.43405151367188,-137.0213623046875
Rosenzweig-MacArthur,13,Rosenzweig-MacArthur,True,0.00010473232805452426,0.0,99.9998927116394,0.0,201.15553283691406,-8.547657012939453,214.9248046875,-67.64132690429688
Rosenzweig-MacArthur,14,Rosenzweig-MacArthur,True,2.6219739712729506e-07,0.0,100.0,0.0,198.2657012939453,-41.059242248535156,218.02503967285156,-111.88072204589844
Rosenzweig-MacArthur,15,Logistic Prey,False,100.0,0.0,2.3597372944550443e-07,0.0,195.8595733642578,-20.987438201904297,175.99485778808594,-75.97494506835938
Rosenzweig-MacArthur,16,Rosenzweig-MacArthur,True,0.0002774778067760053,0.0,99.99972581863403,0.0,199.93283081054688,-91.42144012451172,212.72776794433594,-122.7402572631836
Rosenzweig-MacArthur,17,Rosenzweig-MacArthur,True,1.5822474441762324e-07,0.0,100.0,0.0,199.77980041503906,-30.455339431762695,220.04421997070312,-89.38400268554688
Rosenzweig-MacArthur,18,Logistic Prey,False,99.99998807907104,0.0,8.640886761668298e-06,0.0,189.23760986328125,5.639714241027832,172.9734344482422,-22.575130462646484
Rosenzweig-MacArthur,19,Rosenzweig-MacArthur,True,0.0004920744231640128,0.0,99.99951124191284,0.0,197.00311279296875,-52.7779541015625,209.22515869140625,-71.04896545410156
Rosenzweig-MacArthur,20,Rosenzweig-MacArthur,True,0.05296468734741211,0.0,99.94704127311707,0.0,193.1783905029297,-14.612247467041016,200.72116088867188,-56.336151123046875
Rosenzweig-MacArthur,21,Rosenzweig-MacArthur,True,0.442232983186841,0.0,99.55776929855347,0.0,209.75790405273438,-26.633216857910156,215.174560546875,-100.71186828613281
Rosenzweig-MacArthur,22,Logistic Prey,False,84.71495509147644,0.0,15.285038948059082,0.0,219.24778747558594,-54.60280227661133,217.53536987304688,-122.16999053955078
Rosenzweig-MacArthur,23,Rosenzweig-MacArthur,True,0.1316348323598504,0.0,99.86836314201355,0.0,199.3964080810547,-53.09954071044922,206.02798461914062,-118.688232421875
Rosenzweig-MacArthur,24,Rosenzweig-MacArthur,True,16.530238091945648,0.0,83.46976637840271,0.0,211.84217834472656,-33.057071685791016,213.4614715576172,-85.42025756835938
Rosenzweig-MacArthur,25,Rosenzweig-MacArthur,True,0.00032169803034776123,0.0,99.99967813491821,0.0,212.17550659179688,-65.82898712158203,224.82257080078125,-130.8097381591797
Rosenzweig-MacArthur,26,Rosenzweig-MacArthur,True,20.302028954029083,0.0,79.69796657562256,0.0,175.56036376953125,-26.532541275024414,176.92788696289062,-80.27764129638672
Rosenzweig-MacArthur,27,Rosenzweig-MacArthur,True,0.1863474491983652,0.0,99.81365203857422,0.0,207.1634521484375,-45.5414924621582,213.4468994140625,-84.95870971679688
Rosenzweig-MacArthur,28,Logistic Prey,False,99.9737799167633,0.0,0.026224032626487315,0.0,207.44717407226562,-76.26719665527344,199.20118713378906,-103.05397033691406
Rosenzweig-MacArthur,29,Rosenzweig-MacArthur,True,9.269611211948359e-06,0.0,99.99998807907104,0.0,203.88275146484375,-39.17131042480469,220.07669067382812,-102.00558471679688
Rosenzweig-MacArthur,30,Rosenzweig-MacArthur,True,4.587825674917667e-07,0.0,100.0,0.0,184.47222900390625,-114.24089813232422,203.67208862304688,-238.49996948242188
Rosenzweig-MacArthur,31,Rosenzweig-MacArthur,True,0.0009443492672289722,0.0,99.99905824661255,0.0,201.4353485107422,-78.97425842285156,213.00552368164062,-169.16464233398438
Rosenzweig-MacArthur,32,Logistic Prey,False,80.40719628334045,0.0,19.592800736427307,0.0,206.94717407226562,-39.818580627441406,205.5352325439453,-54.97511672973633
Rosenzweig-MacArthur,33,Logistic Prey,False,100.0,0.0,2.7016746478869536e-09,0.0,160.8332977294922,-46.92593002319336,136.4987335205078,-105.10650634765625
Rosenzweig-MacArthur,34,Logistic Prey,False,100.0,0.0,8.357384511169339e-14,0.0,196.57244873046875,-94.53021240234375,161.85423278808594,-135.3726043701172
Rosenzweig-MacArthur,35,Rosenzweig-MacArthur,True,22.138486802577972,0.0,77.86151170730591,0.0,209.0517120361328,-78.563232421875,210.309326171875,-143.3779754638672
Rosenzweig-MacArthur,36,Logistic Prey,False,100.0,0.0,1.4715757162613603e-20,0.0,159.1886444091797,-142.02761840820312,108.91810607910156,-198.3900604248047
Rosenzweig-MacArthur,37,Logistic Prey,False,100.0,0.0,1.744145482751079e-32,0.0,174.70286560058594,-38.206138610839844,96.97123718261719,-60.83247375488281
Rosenzweig-MacArthur,38,Rosenzweig-MacArthur,True,2.3417230821110024e-06,0.0,100.0,0.0,184.33421325683594,-89.88937377929688,201.9040069580078,-167.42405700683594
Rosenzweig-MacArthur,39,Logistic Prey,False,94.11280155181885,0.0,5.887201800942421,0.0,219.2252960205078,-18.298206329345703,216.45358276367188,-38.15863037109375
Rosenzweig-MacArthur,40,Logistic Prey,False,100.0,0.0,1.4729134524462534e-11,0.0,156.14259338378906,-96.51360321044922,126.59622955322266,-192.80319213867188
Rosenzweig-MacArthur,41,Logistic Prey,False,99.98475313186646,0.0,0.015240474021993577,0.0,181.11032104492188,-24.506237030029297,172.32150268554688,-64.34620666503906
Rosenzweig-MacArthur,42,Logistic Prey,False,100.0,0.0,2.7607676561514083e-09,0.0,179.63755798339844,-19.18637466430664,155.3246307373047,-170.7329864501953
Rosenzweig-MacArthur,43,Rosenzweig-MacArthur,True,0.7718636188656092,0.0,99.22813773155212,0.0,208.8921356201172,-20.17698860168457,213.74850463867188,-68.63211822509766
Rosenzweig-MacArthur,44,Rosenzweig-MacArthur,True,1.5668118372559547,0.0,98.43318462371826,0.0,206.7872772216797,-7.913571834564209,210.9276123046875,-20.45439910888672
Rosenzweig-MacArthur,45,Logistic Prey,False,99.96356964111328,0.0,0.036425303551368415,0.0,215.7270965576172,-33.00978469848633,207.80979919433594,-47.1454963684082
Rosenzweig-MacArthur,46,Logistic Prey,False,100.0,0.0,0.0,0.0,172.4203643798828,-47.014583587646484,26.66600799560547,-64.48809051513672
Rosenzweig-MacArthur,47,Logistic Prey,False,99.79865550994873,0.0,0.2013456542044878,0.0,201.07679748535156,-83.07476806640625,194.87091064453125,-137.30575561523438
Rosenzweig-MacArthur,48,Logistic Prey,False,99.88068342208862,0.0,0.11931309709325433,0.0,207.73573303222656,-54.13319396972656,201.00575256347656,-87.0797119140625
Rosenzweig-MacArthur,49,Rosenzweig-MacArthur,True,0.005515387238119729,0.0,99.9944806098938,0.0,217.508056640625,-47.27604675292969,227.31338500976562,-54.902679443359375
Rosenzweig-MacArthur,50,Rosenzweig-MacArthur,True,2.617116831243038,0.0,97.38287925720215,0.0,219.67086791992188,-61.83763122558594,223.28744506835938,-120.13308715820312
Lotka-Volterra,1,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-1127.986083984375,-1485.449462890625,-3618.453857421875,-644.4156494140625
Lotka-Volterra,2,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-845.0465087890625,-944.9098510742188,-3930.42041015625,-565.3886108398438
Lotka-Volterra,3,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-801.709228515625,-861.3795166015625,-3182.4658203125,-450.03973388671875
