index,true_label,probability_Hypothesis 1,probability_Hypothesis 2,probability_Hypothesis 3
270,2,0.18159655,0.07778875,0.7406147
271,2,0.5828221,0.10933137,0.30784658
272,2,0.47500774,0.10965579,0.4153365
273,2,0.5940854,0.101054095,0.30486053
274,2,0.12825553,2.3015077e-06,0.87174225
275,2,0.34135708,0.0038118304,0.6548311
276,2,0.47428542,0.033176836,0.49253768
277,2,0.25374508,0.31064394,0.435611
278,2,0.06444416,0.070159316,0.86539656
279,2,0.29858005,0.35034946,0.35107055
280,2,0.095594354,0.44535875,0.459047
281,2,0.0026797971,0.37853712,0.6187831
282,2,0.6145594,0.06758938,0.3178512
283,2,0.66251284,0.0025099285,0.33497727
284,2,0.0012819356,0.5068138,0.4919043
285,2,0.0006871433,0.58171594,0.41759688
286,2,0.44509122,0.037264258,0.5176445
287,2,0.03241627,0.30356336,0.66402036
288,2,0.36505926,0.13574879,0.49919194
289,2,0.33752313,0.19011876,0.47235814
290,2,0.006667904,0.520469,0.47286314
291,2,0.08272991,0.051182497,0.8660877
292,2,0.00074566633,0.36660168,0.6326527
293,2,0.063866735,0.091119744,0.8450135
294,2,0.17582896,1.4092154e-06,0.82416964
295,2,0.24832313,0.2892849,0.46239197
296,2,0.43798625,0.12672415,0.4352896
297,2,0.18752058,0.3497674,0.46271208
298,2,0.4084262,0.00052687566,0.59104687
299,2,0.37031275,0.1060593,0.523628
