training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0.027796127484180033,0.2027096003293991,0.17019404470920563,0.9586798012256622,0.5339618623256683,0.44723582565784453,0.5872174501419067,1.9431017637252808,1.848305058479309,2.022174859046936
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.05654561799019575,0.16516229510307312,0.12284777611494065,0.866499924659729,0.3708150237798691,0.32661624550819396,0.43548427522182465,1.686575710773468,1.619564139842987,1.8010653376579284
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.1426876345067285,0.14088456332683563,0.09566584601998329,0.8072265267372132,0.25035880506038666,0.22146317660808562,0.2812692880630493,1.4884974360466003,1.4338124990463257,1.558730685710907
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0.2864426044980064,0.1464080512523651,0.09671956524252892,0.750620448589325,0.1971609815955162,0.17876532971858977,0.2249578982591629,1.4012324810028076,1.3500032901763916,1.4605008602142333
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0.01367447996744886,0.3450995683670044,0.23469285517930985,1.2911663413047791,0.12044526636600494,0.08376677483320237,0.16870031803846358,1.264853835105896,1.1795738220214844,1.3732635021209716
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.027691468480043113,0.30875256657600403,0.19448693990707397,1.156590509414673,0.19756347686052322,0.16656117886304855,0.24819744825363158,1.3937761783599854,1.3304133653640746,1.4948649883270264
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.05572183453477919,0.28712910413742065,0.2188705489039421,1.1896281003952027,0.23729340732097626,0.2012679621577263,0.27767066955566405,1.455918312072754,1.3931334733963012,1.548797607421875
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.14019674551673234,0.2979442626237869,0.21782217770814896,1.1528122901916504,0.2370455041527748,0.19658874720335007,0.2861630618572235,1.4757912755012512,1.368353009223938,1.553593349456787
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0.2809722815291025,0.2853262573480606,0.20213377028703688,1.1371688842773438,0.24030256271362305,0.204571433365345,0.26773692965507506,1.4647881984710693,1.410908079147339,1.5398580193519593
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.013527855509892106,0.32380644977092743,0.20505217760801314,1.2787719130516053,0.15979468077421188,0.12675708085298537,0.1975093737244606,1.3056423664093018,1.2147879362106324,1.3918949007987975
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.027711063507013023,0.2760654538869858,0.18814400881528853,1.134400475025177,0.20878758281469345,0.17797376662492753,0.2576728418469429,1.392942190170288,1.3307113647460938,1.4886955738067627
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.055792831466533244,0.2737817168235779,0.2117522418498993,1.1753859639167785,0.2410937249660492,0.2045111045241356,0.2807719737291336,1.4478066563606262,1.3843278408050537,1.5390483379364013
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.14178942603757605,0.29063455760478973,0.21600678861141204,1.1459410071372986,0.2369420826435089,0.1970322847366333,0.2861019194126129,1.4690380692481995,1.3637472987174988,1.5501354575157165
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0.28273664199514315,0.28143882751464844,0.2010178580880165,1.1335311532020569,0.2402949407696724,0.20457327961921692,0.26724971532821656,1.4617584347724915,1.4073307514190674,1.5370841026306152
