training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
mixture,0,0,0.6407832503318787,0.2741386294364929,0.27599793672561646,0.24680592119693756
mixture,0,0,0.7394713163375854,0.33279743790626526,0.26907387375831604,0.2530995309352875
mixture,0,0,0.8533585071563721,0.3985244333744049,0.2670026421546936,0.23832610249519348
mixture,0,0,0.9847856760025024,0.4707942008972168,0.2377718687057495,0.20680350065231323
mixture,0,0,1.1364541053771973,0.5489058494567871,0.21863891184329987,0.20062342286109924
mixture,0,0,1.3114813566207886,0.6320682168006897,0.21289251744747162,0.20926089584827423
mixture,0,0,1.5134648084640503,0.7194765210151672,0.20346808433532715,0.19949282705783844
mixture,0,0,1.7465559244155884,0.8103709816932678,0.19099511206150055,0.19296681880950928
mixture,0,0,2.0155458450317383,0.9040728211402893,0.1793530434370041,0.17091940343379974
mixture,0,0,2.3259634971618652,1.0,0.16153736412525177,0.15247119963169098
mixture,0,1,0.031644415110349655,0.000999981421045959,1.8258013725280762,0.21749170124530792
mixture,0,1,0.036518022418022156,0.0013310941867530346,1.5143238306045532,0.19163064658641815
mixture,0,1,0.04214222729206085,0.0017716207075864077,1.1141431331634521,0.1821936070919037
mixture,0,1,0.04863262176513672,0.0023574272636324167,0.9158540964126587,0.1529446393251419
mixture,0,1,0.056122612208127975,0.003136059734970331,0.6771366000175476,0.13820777833461761
mixture,0,1,0.06476614624261856,0.004170452244579792,0.49073877930641174,0.11362706124782562
mixture,0,1,0.07474089413881302,0.005543392617255449,0.3344225287437439,0.08846768736839294
mixture,0,1,0.08625186234712601,0.007363683078438044,0.22017323970794678,0.06516015529632568
mixture,0,1,0.09953565895557404,0.009773730300366879,0.15745382010936737,0.054161712527275085
mixture,0,1,0.11486529558897018,0.012958434410393238,0.15638139843940735,0.058983832597732544
mixture,0,1,0.13255588710308075,0.017156483605504036,0.19165201485157013,0.08245501667261124
mixture,0,1,0.1529710441827774,0.02267235703766346,0.23660989105701447,0.11741895973682404
mixture,0,1,0.17653034627437592,0.029889527708292007,0.265489399433136,0.13922321796417236
mixture,0,1,0.20371808111667633,0.03928206115961075,0.2949571907520294,0.16477830708026886
mixture,0,1,0.23509304225444794,0.05142240226268768,0.31289175152778625,0.1948789656162262
mixture,0,1,0.2713001072406769,0.06698070466518402,0.31791192293167114,0.21658562123775482
mixture,0,1,0.3130834996700287,0.08671019226312637,0.3249228596687317,0.23117278516292572
mixture,0,1,0.361301988363266,0.11141348630189896,0.3231693506240845,0.24011771380901337
mixture,0,1,0.4169467091560364,0.14188621938228607,0.3056991994380951,0.2539788782596588
mixture,0,1,0.4811613857746124,0.17884142696857452,0.3140668272972107,0.2401188462972641
mixture,0,1,0.5552658438682556,0.22282467782497406,0.29464495182037354,0.2559661865234375
mixture,0,1,0.6407832503318787,0.2741386294364929,0.3103655278682709,0.27683815360069275
mixture,0,1,0.7394713163375854,0.33279743790626526,0.3091418445110321,0.26375967264175415
mixture,0,1,0.8533585071563721,0.3985244333744049,0.32254138588905334,0.28703293204307556
mixture,0,1,0.9847856760025024,0.4707942008972168,0.3141579031944275,0.2905484139919281
mixture,0,1,1.1364541053771973,0.5489058494567871,0.30359360575675964,0.2974773347377777
mixture,0,1,1.3114813566207886,0.6320682168006897,0.2845168709754944,0.2830428183078766
mixture,0,1,1.5134648084640503,0.7194765210151672,0.30183178186416626,0.2829453647136688
mixture,0,1,1.7465559244155884,0.8103709816932678,0.279699444770813,0.279752641916275
mixture,0,1,2.0155458450317383,0.9040728211402893,0.27238306403160095,0.2627156376838684
mixture,0,1,2.3259634971618652,1.0,0.26093772053718567,0.2606458365917206
mixture,0,2,0.031644415110349655,0.000999981421045959,2.0413224697113037,0.22459706664085388
mixture,0,2,0.036518022418022156,0.0013310941867530346,1.6232085227966309,0.22246505320072174
mixture,0,2,0.04214222729206085,0.0017716207075864077,1.2907137870788574,0.2017996609210968
mixture,0,2,0.04863262176513672,0.0023574272636324167,1.0392652750015259,0.17421647906303406
mixture,0,2,0.056122612208127975,0.003136059734970331,0.7778611779212952,0.1475660651922226
mixture,0,2,0.06476614624261856,0.004170452244579792,0.5542083978652954,0.13101449608802795
mixture,0,2,0.07474089413881302,0.005543392617255449,0.388090580701828,0.1048998013138771
mixture,0,2,0.08625186234712601,0.007363683078438044,0.2515193819999695,0.07412084192037582
mixture,0,2,0.09953565895557404,0.009773730300366879,0.1337767392396927,0.043142009526491165
mixture,0,2,0.11486529558897018,0.012958434410393238,0.07522816956043243,0.029696637764573097
mixture,0,2,0.13255588710308075,0.017156483605504036,0.09887784719467163,0.039589088410139084
mixture,0,2,0.1529710441827774,0.02267235703766346,0.15681511163711548,0.07125875353813171
mixture,0,2,0.17653034627437592,0.029889527708292007,0.19889189302921295,0.10230702906847
mixture,0,2,0.20371808111667633,0.03928206115961075,0.2312980592250824,0.1354212611913681
mixture,0,2,0.23509304225444794,0.05142240226268768,0.2599315941333771,0.15824972093105316
mixture,0,2,0.2713001072406769,0.06698070466518402,0.2728971838951111,0.18113163113594055
mixture,0,2,0.3130834996700287,0.08671019226312637,0.2820298373699188,0.18881756067276
mixture,0,2,0.361301988363266,0.11141348630189896,0.29467329382896423,0.2209547758102417
mixture,0,2,0.4169467091560364,0.14188621938228607,0.2885410785675049,0.2344169169664383
mixture,0,2,0.4811613857746124,0.17884142696857452,0.2805194854736328,0.24092978239059448
mixture,0,2,0.5552658438682556,0.22282467782497406,0.28243714570999146,0.24336747825145721
mixture,0,2,0.6407832503318787,0.2741386294364929,0.2854023575782776,0.24880217015743256
mixture,0,2,0.7394713163375854,0.33279743790626526,0.2705427408218384,0.24155515432357788
mixture,0,2,0.8533585071563721,0.3985244333744049,0.24688710272312164,0.21870963275432587
mixture,0,2,0.9847856760025024,0.4707942008972168,0.23041623830795288,0.2271997332572937
mixture,0,2,1.1364541053771973,0.5489058494567871,0.2228861302137375,0.21734265983104706
mixture,0,2,1.3114813566207886,0.6320682168006897,0.1927562654018402,0.18697667121887207
mixture,0,2,1.5134648084640503,0.7194765210151672,0.18662667274475098,0.176282599568367
mixture,0,2,1.7465559244155884,0.8103709816932678,0.159912109375,0.1550295501947403
mixture,0,2,2.0155458450317383,0.9040728211402893,0.14794465899467468,0.13973747193813324
mixture,0,2,2.3259634971618652,1.0,0.1282234638929367,0.12056824564933777
mixture,0,3,0.031644415110349655,0.000999981421045959,1.6071794033050537,0.1899167150259018
mixture,0,3,0.036518022418022156,0.0013310941867530346,1.2409477233886719,0.16937777400016785
mixture,0,3,0.04214222729206085,0.0017716207075864077,0.9799152612686157,0.1605912148952484
mixture,0,3,0.04863262176513672,0.0023574272636324167,0.8029115796089172,0.13666659593582153
mixture,0,3,0.056122612208127975,0.003136059734970331,0.5519110560417175,0.12146702408790588
mixture,0,3,0.06476614624261856,0.004170452244579792,0.4159006178379059,0.09856587648391724
mixture,0,3,0.07474089413881302,0.005543392617255449,0.33062705397605896,0.08716502785682678
mixture,0,3,0.08625186234712601,0.007363683078438044,0.29776203632354736,0.08372125029563904
mixture,0,3,0.09953565895557404,0.009773730300366879,0.28567609190940857,0.09364040940999985
mixture,0,3,0.11486529558897018,0.012958434410393238,0.29832738637924194,0.11521147936582565
mixture,0,3,0.13255588710308075,0.017156483605504036,0.3175865113735199,0.14132066071033478
mixture,0,3,0.1529710441827774,0.02267235703766346,0.3649226129055023,0.17150679230690002
mixture,0,3,0.17653034627437592,0.029889527708292007,0.36387109756469727,0.19455254077911377
mixture,0,3,0.20371808111667633,0.03928206115961075,0.4237975478172302,0.22294242680072784
mixture,0,3,0.23509304225444794,0.05142240226268768,0.42640453577041626,0.25633707642555237
mixture,0,3,0.2713001072406769,0.06698070466518402,0.4229266345500946,0.3024939298629761
mixture,0,3,0.3130834996700287,0.08671019226312637,0.4305621385574341,0.3207172751426697
mixture,0,3,0.361301988363266,0.11141348630189896,0.45186707377433777,0.3412545621395111
mixture,0,3,0.4169467091560364,0.14188621938228607,0.4639415442943573,0.3859459161758423
mixture,0,3,0.4811613857746124,0.17884142696857452,0.494026243686676,0.3958479166030884
mixture,0,3,0.5552658438682556,0.22282467782497406,0.510999321937561,0.42309749126434326
mixture,0,3,0.6407832503318787,0.2741386294364929,0.49535417556762695,0.458479642868042
mixture,0,3,0.7394713163375854,0.33279743790626526,0.5296816229820251,0.49418139457702637
mixture,0,3,0.8533585071563721,0.3985244333744049,0.5309198498725891,0.4995654821395874
mixture,0,3,0.9847856760025024,0.4707942008972168,0.5725105404853821,0.5379843711853027
mixture,0,3,1.1364541053771973,0.5489058494567871,0.5288470983505249,0.5366722345352173
mixture,0,3,1.3114813566207886,0.6320682168006897,0.5448976159095764,0.5146278142929077
mixture,0,3,1.5134648084640503,0.7194765210151672,0.5073779225349426,0.502714216709137
