correction,inference_time_grid,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,training_time_sampling,variant
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.03650304675102234,langevin,2,1,5.007849592948332,-0.025018993765115738,0.601294755935669,1.0414730310440063,mixture,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.01877523772418499,langevin,2,1,4.985673799994402,0.006895939353853464,0.7064540386199951,1.2236143350601196,mixture,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.024536555632948875,dpm,5,1,4.737973465002142,-0.11587908864021301,0.48786452412605286,1.1950191259384155,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.029343437403440475,dpm,5,1,4.7568357430864125,-0.11784148961305618,0.48482605814933777,1.187576413154602,uniform,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.04182182997465134,langevin,5,1,10.95651428308338,-0.12293577194213867,0.49553826451301575,1.2138158082962036,uniform,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.04453345015645027,langevin,5,1,11.0117883059429,-0.12404278665781021,0.48567840456962585,1.1896642446517944,uniform,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.0032635778188705444,langevin,5,1,10.83610655006487,-0.1045297309756279,0.36769232153892517,0.9006585478782654,uniform,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.00653834268450737,langevin,5,1,10.822952582035214,-0.10853134840726852,0.48669177293777466,1.1921464204788208,uniform,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.061945341527462006,dpm,5,1,4.73202902590856,-0.08057300001382828,0.4204603135585785,1.0299131870269775,log_sigma,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.06621110439300537,dpm,5,1,4.769468275015242,-0.0788315087556839,0.42041733860969543,1.0298079252243042,log_sigma,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.06648612022399902,langevin,5,1,11.074192538973875,-0.07871923595666885,0.41903942823410034,1.026432752609253,log_sigma,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.06033851206302643,langevin,5,1,11.157694982015528,-0.08122898638248444,0.4341678321361542,1.063489556312561,log_sigma,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.07388792932033539,langevin,5,1,10.850569133996032,-0.07569745928049088,0.46892988681793213,1.1486389636993408,log_sigma,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.038579657673835754,langevin,5,1,10.826259976951405,-0.09011200070381165,0.47853517532348633,1.1721669435501099,log_sigma,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.13107597827911377,dpm,5,1,4.792709641973488,-0.05235053598880768,0.45851075649261475,1.1231173276901245,mixture,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.10943741351366043,dpm,5,1,4.839130487991497,-0.06118444353342056,0.47750815749168396,1.1696512699127197,mixture,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.08312942832708359,langevin,5,1,11.11147216707468,-0.07192463427782059,0.48105624318122864,1.178342342376709,mixture,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.06612376123666763,langevin,5,1,10.996897167991847,-0.07886716723442078,0.46953776478767395,1.15012788772583,mixture,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.05146672576665878,langevin,5,1,10.86628891096916,-0.12687328457832336,0.4454303979873657,1.091077208518982,mixture,langevin_fnpe_log_sigma
