training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,posterior_error
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,1,0,0.1515676109702326,0.2020901479603102,0.0922111272811889,0.1562906354665756,10.21895980834961
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,1,1,0.1513160920003429,0.2017547893337905,0.0928753018379211,0.1567342728376388,9.906540870666504
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,1,0,0.0154800180462189,0.0206400240616252,0.2759149670600891,0.9388784170150756,3.640802383422852
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,1,1,0.0138023859472014,0.0184031812629352,0.2419434189796447,0.8966519236564636,3.575162172317505
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,1,0,0.0298540369840338,0.0398053826453785,0.1743017733097076,0.4820509254932403,1.355699896812439
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,1,1,0.0313974329619668,0.0418632439492891,0.1716998219490051,0.5249505043029785,1.3385229110717771
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,1,0,0.0612897420069202,0.081719656009227,0.1117814183235168,0.3462995886802673,0.6652671098709106
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,1,1,0.0615698639885522,0.0820931519847363,0.1250496953725814,0.2860995829105377,0.60773766040802
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,1,0,0.1531581330345943,0.2042108440461258,0.1169491857290268,0.2510795295238495,0.3912550806999206
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,1,1,0.1550252999877557,0.2067003999836743,0.1135536059737205,0.236421912908554,0.3696180582046509
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,1,0,0.0142410479602403,0.0189880639469871,0.2654324173927307,1.3103811740875244,4.170849800109863
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,1,1,0.0152142430306412,0.0202856573741883,0.2898935973644256,1.365650653839111,4.133734703063965
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,1,0,0.029659317980986,0.0395457573079814,0.1387644559144973,0.4584622979164123,0.8316764831542969
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,1,1,0.0300276330090127,0.040036844012017,0.1505683809518814,0.5176769495010376,0.8979495763778687
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,1,0,0.0676488219760358,0.0901984293013811,0.1164440810680389,0.264433741569519,0.3868951797485351
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,1,1,0.0591804899740964,0.0789073199654619,0.0998653247952461,0.2657835185527801,0.3470553159713745
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,1,0,0.1509293770068325,0.2012391693424433,0.1058853566646575,0.1514257192611694,0.210473895072937
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,1,1,0.1503666450153105,0.200488860020414,0.1052887737751007,0.1700213402509689,0.2238528132438659
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,2,0,0.0139494940522126,0.0185993254029502,0.306950032711029,0.1250838041305542,0.3098018169403076
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,2,1,0.0136340110329911,0.0181786813773214,0.2998221516609192,0.1229817941784858,0.282936155796051
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,2,0,0.0281725939712487,0.0375634586283316,0.2090341001749038,0.3018561899662018,0.4482014775276184
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,2,1,0.0282363690203055,0.0376484920270741,0.2586007714271545,0.2359059154987335,0.387617826461792
