training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi,sliced_wasserstein_median,sliced_wasserstein_lo,sliced_wasserstein_hi,theta_map_squared_error_median,theta_map_squared_error_lo,theta_map_squared_error_hi,observation_map_squared_error_median,observation_map_squared_error_lo,observation_map_squared_error_hi
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,1.5042778885108419,0.05549823306500912,0.01742905089631677,0.1958283558487892,0.14999686926603317,0.11887957602739334,0.3101499527692795,1.2407564520835876,1.1250028133392334,1.4120178461074828,0.10004283860325813,0.07831970229744911,0.14485310614109037,13.693569131195545,0.012259576655924321,2578.904541015625,0.454884372651577,0.007953959610313177,70.04496231079102
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,5,0.024127564451191574,0.31484749913215637,0.09463850259780884,0.4735590934753418,0.920917421579361,0.7581654548645019,1.1190662026405334,2.1391120553016663,1.629911518096924,2.626747250556946,0.35731570422649384,0.3208171874284744,0.439230290055275,14.923761568963528,0.020985392574220905,2592.949658203125,1.4409177750349045,0.01970592215657235,70.61351089477539
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.04759882052894682,0.15871261805295944,0.09899742752313614,0.31984515190124513,0.4038248807191849,0.33156232833862304,0.48664815127849576,1.5601612329483032,1.301606583595276,1.895850908756256,0.1961943358182907,0.1544663205742836,0.2663457632064819,14.93044413626194,0.04145097434520722,2580.0021484375,0.7186960801482201,0.01826743148267269,70.60157089233398
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.09573269251268357,0.11132684350013733,0.06459383741021156,0.3177447021007538,0.2375662699341774,0.2124822109937668,0.3655902475118637,1.4158891439437866,1.184048581123352,1.627888596057892,0.13650815188884735,0.10139925330877304,0.22622699737548826,15.253664832562208,0.011227444373071193,2582.0886474609374,0.6150516718626022,0.010891126655042173,68.20804824829102
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.23784949345281348,0.108859121799469,0.0801974393427372,0.27499803006649015,0.21663564443588257,0.17098791003227234,0.33688434362411496,1.3357725143432617,1.1746803402900696,1.508535623550415,0.12595230340957642,0.10613057166337966,0.19472989439964294,16.154748678207397,0.003930370952002706,2574.2252685546873,0.569181278347969,0.007181109068915248,69.64208450317383
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,100,0.47360189800383523,0.1189836785197258,0.06252968311309814,0.2649445965886116,0.1824217140674591,0.14336172342300416,0.2562823355197906,1.2861388325691223,1.1095115184783935,1.4952311158180236,0.11427648738026619,0.10138585716485977,0.18597959429025648,14.708675190806389,0.0058259022887796165,2570.91162109375,0.5339674800634384,0.0049866973888129,70.22135925292969
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0.025676210469100624,0.30594563484191895,0.1426265835762024,0.4129243582487106,0.7193055152893066,0.6876026034355164,0.773118406534195,2.021295189857483,1.5126198649406433,2.5829766988754272,0.3556157052516937,0.3126501053571701,0.4240737676620483,14.393675148487091,0.03669680319726467,2595.2720947265625,1.878860056400299,0.04028411656618119,69.08397521972657
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0.04835707048187032,0.17591962963342667,0.1387110248208046,0.34868436753749843,0.3835650384426117,0.3182412624359131,0.42762480676174164,1.6398605108261108,1.252325463294983,1.9940929412841797,0.2303449511528015,0.1705359101295471,0.29745884239673615,15.630969725549221,0.005337077344302092,2590.952294921875,0.686615839600563,0.016994420439004898,70.01043395996093
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.09477418701862916,0.1348530426621437,0.07413621693849565,0.32107579410076137,0.2854200005531311,0.21603263318538665,0.35442619025707245,1.4656040668487549,1.181058895587921,1.7562382221221924,0.16839317232370377,0.12870849072933196,0.2489901065826416,15.691123865544796,0.0036460399394854905,2572.463671875,0.7903772369027138,0.003262128192000091,71.27486267089844
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.23833212698809803,0.1221311129629612,0.05436037257313729,0.26892014443874357,0.22261150181293488,0.18567375540733339,0.30309354066848754,1.3347015976905823,1.181770658493042,1.597904586791992,0.1416703462600708,0.10210766270756721,0.1912920519709587,16.407278303056955,0.025235458090901376,2571.0946533203123,0.6560409814119339,0.011821085028350355,71.3217903137207
