training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
log_sigma,2,0,0.0880664512515068,0.007714332081377506,0.8250924944877625,0.7902359962463379
log_sigma,2,0,0.10009060800075531,0.009949231520295143,0.7880001068115234,0.784131646156311
log_sigma,2,0,0.11375648528337479,0.01282587368041277,0.7617085576057434,0.8131889700889587
log_sigma,2,0,0.12928824126720428,0.016524694859981537,0.7614161372184753,0.7670964598655701
log_sigma,2,0,0.14694061875343323,0.02127472683787346,0.7584266662597656,0.7391034364700317
log_sigma,2,0,0.16700315475463867,0.027364419773221016,0.7316420078277588,0.740064263343811
log_sigma,2,0,0.18980495631694794,0.03515515476465225,0.6916278600692749,0.6813254952430725
log_sigma,2,0,0.21571995317935944,0.04509562999010086,0.7424973845481873,0.7650627493858337
log_sigma,2,0,0.24517332017421722,0.05773649364709854,0.6791924238204956,0.69017493724823
log_sigma,2,0,0.2786480486392975,0.073743537068367,0.7217862010002136,0.7210889458656311
log_sigma,2,0,0.3166932761669159,0.09390784054994583,0.7329453229904175,0.7439522743225098
log_sigma,2,0,0.3599330186843872,0.11914696544408798,0.6898481845855713,0.670432448387146
log_sigma,2,0,0.4090765118598938,0.1504938006401062,0.6201438307762146,0.5857909321784973
log_sigma,2,0,0.4649297893047333,0.18906770646572113,0.6106458902359009,0.6270111203193665
log_sigma,2,0,0.5284090042114258,0.23602324724197388,0.6075127720832825,0.5669583082199097
log_sigma,2,0,0.6005553603172302,0.2924765646457672,0.6104431748390198,0.5956740379333496
log_sigma,2,0,0.6825522184371948,0.3594135344028473,0.5581235885620117,0.574199914932251
log_sigma,2,0,0.7757444977760315,0.43759262561798096,0.553826630115509,0.5721698999404907
log_sigma,2,0,0.8816608190536499,0.5274598002433777,0.5585442185401917,0.5707984566688538
log_sigma,2,0,1.0020384788513184,0.6290942430496216,0.5138752460479736,0.5208052396774292
log_sigma,2,0,1.1388518810272217,0.7421982884407043,0.48271527886390686,0.47348877787590027
log_sigma,2,0,1.2943450212478638,0.8661344647407532,0.47395023703575134,0.47237512469291687
log_sigma,2,0,1.4710685014724731,1.0,0.45179370045661926,0.44593459367752075
log_sigma,2,1,0.031633540987968445,0.0009999875910580158,0.9960041642189026,1.0316647291183472
log_sigma,2,1,0.03595263138413429,0.0012914647813886404,0.9961940050125122,1.054014801979065
log_sigma,2,1,0.04086142033338547,0.0016677641542628407,0.9953659772872925,0.9464142322540283
log_sigma,2,1,0.04644044116139412,0.002153530716896057,0.9862430691719055,0.9772397875785828
log_sigma,2,1,0.052781183272600174,0.002780495211482048,1.0032554864883423,0.977715015411377
log_sigma,2,1,0.059987667948007584,0.003589533269405365,0.9786653518676758,0.9619351029396057
log_sigma,2,1,0.06817809492349625,0.004633348435163498,0.9462859630584717,0.9477081894874573
log_sigma,2,1,0.0774867832660675,0.005979322362691164,0.9618801474571228,0.9448819160461426
log_sigma,2,1,0.0880664512515068,0.007714332081377506,0.9365095496177673,0.9305578470230103
