training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio,theta_map_squared_error,observation_map_squared_error,sliced_wasserstein
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,2,3,0,0.02580822806339711,0.034410970751196146,cuda,0.5504571199417114,0.5663573145866394,1.1868082284927368,30.465614318847656,4.024714469909668,0.3548446595668793
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,2,3,1,0.022094668936915696,0.029459558582554262,cuda,0.5293833017349243,0.5427381992340088,1.1639997959136963,30.683263778686523,4.870675086975098,0.3423871099948883
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,2,3,0,0.047393616987392306,0.06319148931652308,cuda,0.4502553641796112,0.35160452127456665,1.1290056705474854,31.06034278869629,3.3440024852752686,0.29011523723602295
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,2,3,1,0.052609195932745934,0.07014559457699458,cuda,0.4721754491329193,0.3623217046260834,1.1135505437850952,29.993942260742188,4.182669162750244,0.3032166659832001
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,2,3,0,0.09668714599683881,0.12891619466245174,cuda,0.4486408531665802,0.3599538505077362,1.1403988599777222,31.815780639648438,4.123931407928467,0.28875720500946045
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,2,3,1,0.09427356102969497,0.12569808137292662,cuda,0.503006637096405,0.41171059012413025,1.1624927520751953,31.76639175415039,4.170994758605957,0.31953108310699463
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,2,3,0,0.2329719311092049,0.31062924147893983,cuda,0.4670006334781647,0.3061641454696655,1.131646990776062,30.166114807128906,4.27188777923584,0.3013285994529724
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,2,3,1,0.23457114305347204,0.31276152407129604,cuda,0.4844532012939453,0.3752436637878418,1.160501480102539,28.82618522644043,4.9568772315979,0.3100721836090088
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,2,3,0,0.46876079903449863,0.6250143987126648,cuda,0.42362263798713684,0.20121699571609497,1.099123477935791,31.571645736694336,4.954026222229004,0.27437153458595276
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,2,3,1,0.4618008329998702,0.6157344439998269,cuda,0.480613648891449,0.2843247652053833,1.1017969846725464,31.18656349182129,4.737837791442871,0.30749571323394775
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,2,3,0,0.025662057101726532,0.034216076135635376,cuda,0.6944566965103149,0.6528951525688171,1.2143081426620483,30.476409912109375,6.3180131912231445,0.44660866260528564
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,2,3,1,0.02234329900238663,0.029791065336515505,cuda,0.671184241771698,0.6267136335372925,1.1923527717590332,30.51052474975586,6.768651962280273,0.43247634172439575
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,2,3,0,0.04584337002597749,0.06112449336796999,cuda,0.5331279635429382,0.38817116618156433,1.1434611082077026,30.922901153564453,5.194812774658203,0.34123140573501587
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,2,3,1,0.047418730915524065,0.06322497455403209,cuda,0.5587888360023499,0.39976102113723755,1.1295543909072876,30.141502380371094,5.950313091278076,0.35696426033973694
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,2,3,0,0.09230166103225201,0.12306888137633602,cuda,0.513143002986908,0.3808048367500305,1.1488007307052612,31.699308395385742,5.598632335662842,0.3289489150047302
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,2,3,1,0.09400811395607889,0.12534415194143853,cuda,0.5644986629486084,0.43214115500450134,1.170668125152588,31.651260375976562,5.661120891571045,0.358062207698822
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,2,3,0,0.26300417294260114,0.35067223059013486,cuda,0.49599912762641907,0.3139154613018036,1.1344270706176758,30.10887336730957,4.926017761230469,0.31932544708251953
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,2,3,1,0.2383588699158281,0.31781182655443746,cuda,0.514586329460144,0.38332030177116394,1.1632535457611084,28.776329040527344,5.713273048400879,0.3289278745651245
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,2,3,0,0.4895243999781087,0.6526991999708116,cuda,0.4394906461238861,0.20547854900360107,1.100684404373169,31.54250717163086,5.333674430847168,0.28431904315948486
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,2,3,1,0.5005698999157175,0.6674265332209567,cuda,0.4953174889087677,0.2884353697299957,1.103332281112671,31.15718650817871,5.100495338439941,0.3166569769382477
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,2,3,0,0.18115139799192548,0.2415351973225673,cuda,0.29851576685905457,0.2611839473247528,1.1948392391204834,29.64427375793457,2.0966532230377197,0.22156628966331482
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,2,3,1,0.215034666005522,0.28671288800736267,cuda,0.2440762221813202,0.200958251953125,1.1594655513763428,29.76304817199707,2.6522412300109863,0.18285006284713745
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,2,3,0,0.24351460498292,0.3246861399772267,cuda,0.2000637948513031,0.2016640603542328,1.1455496549606323,32.484046936035156,1.426288366317749,0.15067118406295776
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,2,3,1,0.22935228305868804,0.3058030440782507,cuda,0.25372689962387085,0.21169641613960266,1.1511667966842651,33.43328094482422,1.366370677947998,0.1866433024406433
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,2,3,0,0.3657745949458331,0.48769945992777747,cuda,0.22523565590381622,0.3333868086338043,1.2115452289581299,30.1630859375,1.0571656227111816,0.17303824424743652
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,2,3,1,0.36896226298995316,0.4919496839866042,cuda,0.2589925229549408,0.24359771609306335,1.1616686582565308,30.765939712524414,0.9320225119590759,0.17924274504184723
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,2,3,0,0.8002419120166451,1.0669892160221934,cuda,0.2454836070537567,0.2622716426849365,1.159602165222168,31.68212890625,0.8719559907913208,0.1760651022195816
