bias,centered_rmse,comparison,correlation,mae,mask,problem,rmse,timesteps
-0.20194048589843028,0.32612811448768686,current_vs_analytic,0.9154528183725755,0.3192753406792719,posterior,line,0.38358767824864753,100
-0.2019402214028191,0.3261281144739767,upstream_vs_analytic,0.9154528115023368,0.31927514323888606,posterior,line,0.38358753899282344,100
-2.644956111907959e-07,3.3484122759799605e-07,current_vs_upstream,0.9999999999996089,3.0919909477233887e-07,posterior,line,4.2670431921709637e-07,100
-0.2032907397188496,0.3261313602867275,current_vs_analytic,0.9154457447043521,0.3202929782301027,posterior,line,0.3843029911644045,200
-0.2032904901243996,0.32613129115627953,upstream_vs_analytic,0.9154457924330535,0.3202927360862333,posterior,line,0.3843028004663518,200
-2.4959444999694824e-07,3.303347476921631e-07,current_vs_upstream,0.9999999999996299,2.7194619178771973e-07,posterior,line,4.140270945265831e-07,200
-0.20366430810468905,0.3261322184006133,current_vs_analytic,0.9154435791858224,0.32057430097757167,posterior,line,0.3845014619928864,500
-0.20366406968610995,0.32613217519105553,upstream_vs_analytic,0.9154436008370717,0.32057413706479854,posterior,line,0.3845012990562685,500
-2.384185791015625e-07,3.47551816394645e-07,current_vs_upstream,0.9999999999995856,2.980232238769531e-07,posterior,line,4.2146848510894033e-07,500
-0.40299340276264584,0.5982950376261449,current_vs_analytic,0.7636169073704822,0.6117684630653926,likelihood,line,0.7213602669389867,10
-0.4029925086929742,0.5982949608707115,upstream_vs_analytic,0.76361696827987,0.6117678670189448,likelihood,line,0.7213597037996669,10
-8.940696716308594e-07,5.870376707193913e-07,current_vs_upstream,0.9999999999997624,8.940696716308594e-07,likelihood,line,1.0695671108321167e-06,10
-0.8130432836174313,0.6424441844846287,current_vs_analytic,0.7340906006638009,0.9265666326465587,likelihood,line,1.0362306264599277,50
-0.8130425981640164,0.6424441848086063,upstream_vs_analytic,0.734090607274632,0.9265660962047557,likelihood,line,1.0362300888430565,50
-6.854534149169922e-07,6.630598146106895e-07,current_vs_upstream,0.9999999999997135,7.599592208862305e-07,likelihood,line,9.5367431640625e-07,50
-0.8243156539670471,0.643839323905536,current_vs_analytic,0.7331984775681922,0.9360481665427367,likelihood,line,1.0459566780618872,100
-0.824315266536856,0.6438392578568866,upstream_vs_analytic,0.7331985043049809,0.9360478238160292,likelihood,line,1.0459563320729188,100
-3.8743019104003906e-07,5.77119491429242e-07,current_vs_upstream,0.9999999999997891,4.6193599700927734e-07,likelihood,line,6.9510363278929e-07,100
