likelihood_std,mean_error_sigma,n_observations,prior_std,repeat,runtime_seconds,std_ratio,variant
0.5,0.053841572254896164,25,0.3,2,0.608844127971679,1.0327274799346924,Langevin + uncorrected
0.5,0.15932230651378632,25,0.3,2,0.9654487639199942,1.2632023096084595,Langevin + F-NPSE
0.5,0.16095958650112152,50,0.3,0,0.39118193893227726,1.0134936571121216,DPM + uncorrected
0.5,0.02423594519495964,50,0.3,0,0.46118305099662393,1.0034037828445435,DPM + Gaussian
0.5,0.03916290029883385,50,0.3,0,0.7201873740414158,1.0222067832946777,Langevin + Gaussian
0.5,0.12706421315670013,50,0.3,0,0.6099293340230361,1.0267311334609985,Langevin + uncorrected
0.5,1.2167531251907349,50,0.3,0,0.9662334430031478,1.2985823154449463,Langevin + F-NPSE
0.5,0.1278807371854782,50,0.3,1,0.39173604897223413,0.9977806806564331,DPM + uncorrected
0.5,0.03961864113807678,50,0.3,1,0.4622871959581971,1.005795955657959,DPM + Gaussian
0.5,0.010685330256819725,50,0.3,1,0.7181347720324993,1.0195550918579102,Langevin + Gaussian
0.5,0.05774974450469017,50,0.3,1,0.6081959579605609,1.0276992321014404,Langevin + uncorrected
0.5,0.7636662721633911,50,0.3,1,0.9599541819188744,1.2843551635742188,Langevin + F-NPSE
0.5,0.12594054639339447,50,0.3,2,0.3968639230588451,0.9941974878311157,DPM + uncorrected
0.5,0.027587082237005234,50,0.3,2,0.46229854598641396,1.0076781511306763,DPM + Gaussian
0.5,0.018300021067261696,50,0.3,2,0.7116710830014199,1.0471396446228027,Langevin + Gaussian
0.5,0.13558252155780792,50,0.3,2,0.6153172670165077,1.0181238651275635,Langevin + uncorrected
0.5,1.1194754838943481,50,0.3,2,0.9614348380127922,1.29056715965271,Langevin + F-NPSE
0.5,0.14717741310596466,100,0.3,0,0.39168338396120816,1.0255000591278076,DPM + uncorrected
0.5,0.014783908613026142,100,0.3,0,0.4746158440830186,1.0202707052230835,DPM + Gaussian
0.5,0.03874431923031807,100,0.3,0,0.7210908440174535,1.0315806865692139,Langevin + Gaussian
0.5,0.17165035009384155,100,0.3,0,0.6182956129778177,1.0365341901779175,Langevin + uncorrected
0.5,2.0292515754699707,100,0.3,0,0.9910247389925644,1.3257092237472534,Langevin + F-NPSE
0.5,0.13725854456424713,100,0.3,1,0.3957344508962706,1.0116212368011475,DPM + uncorrected
0.5,0.04260515421628952,100,0.3,1,0.4684500800212845,1.0008361339569092,DPM + Gaussian
0.5,0.033777978271245956,100,0.3,1,0.7301971410633996,1.0325980186462402,Langevin + Gaussian
0.5,0.12004636973142624,100,0.3,1,0.6188302380032837,1.023241400718689,Langevin + uncorrected
0.5,1.4701402187347412,100,0.3,1,0.9854202440474182,1.2960255146026611,Langevin + F-NPSE
0.5,0.051688194274902344,100,0.3,2,0.4036411370616406,1.0191346406936646,DPM + uncorrected
0.5,0.00954368058592081,100,0.3,2,0.4693040819838643,1.0133724212646484,DPM + Gaussian
0.5,0.012105893343687057,100,0.3,2,0.7257945080054924,1.0214300155639648,Langevin + Gaussian
0.5,0.049794454127550125,100,0.3,2,0.6229324550367892,1.0164828300476074,Langevin + uncorrected
0.5,0.29789966344833374,100,0.3,2,0.9846746700350195,1.3046382665634155,Langevin + F-NPSE
0.5,0.011679612100124359,1,0.3,0,0.40716484608128667,1.0162179470062256,DPM-2 + damping
0.5,0.016650591045618057,1,0.3,0,0.4644535749685019,1.0218368768692017,DPM-2 + Gaussian + damping
0.5,0.01780746690928936,1,0.3,0,0.5287608949001878,1.0068066120147705,DPM-2 + hybrid (no damping)
0.5,0.013727644458413124,1,0.3,0,0.47399148694239557,0.9996502995491028,DPM-2 + hybrid damping
0.5,0.03135952353477478,2,0.3,0,0.42111276905052364,0.9833000898361206,DPM-2 + damping
