n_observations,repeat,method,parameter,parameter_index,truth,analytic_map,analytic_std,estimate
5,1,analytic,global,0,-0.011937925592064857,-0.010760405100882053,0.27321159839630127,-0.010760405100882053
5,1,analytic,local,1,0.1541675478219986,-0.03826294094324112,0.3277930021286011,-0.03826294094324112
5,1,analytic,local,2,-1.2005586624145508,-0.6645494103431702,0.3277930021286011,-0.6645494103431702
5,1,analytic,local,3,0.37095877528190613,0.1519164890050888,0.32779303193092346,0.1519164890050888
5,1,analytic,local,4,0.8207607269287109,0.7827282547950745,0.3277930021286011,0.7827282547950745
5,1,analytic,local,5,-0.04238589107990265,-0.2378847301006317,0.3277930021286011,-0.2378847301006317
5,1,old_score,global,0,-0.011937925592064857,-0.010760405100882053,0.27321159839630127,0.0005886396393179893
5,1,old_score,local,1,0.1541675478219986,-0.03826294094324112,0.3277930021286011,-0.0476745180785656
5,1,old_score,local,2,-1.2005586624145508,-0.6645494103431702,0.3277930021286011,-0.6706055998802185
5,1,old_score,local,3,0.37095877528190613,0.1519164890050888,0.32779303193092346,0.14148594439029694
5,1,old_score,local,4,0.8207607269287109,0.7827282547950745,0.3277930021286011,0.7689180374145508
5,1,old_score,local,5,-0.04238589107990265,-0.2378847301006317,0.3277930021286011,-0.2462267130613327
5,1,joint_score,global,0,-0.011937925592064857,-0.010760405100882053,0.27321159839630127,0.06790793687105179
5,1,joint_score,local,1,0.1541675478219986,-0.03826294094324112,0.3277930021286011,-0.10453375428915024
5,1,joint_score,local,2,-1.2005586624145508,-0.6645494103431702,0.3277930021286011,-0.7275024056434631
5,1,joint_score,local,3,0.37095877528190613,0.1519164890050888,0.32779303193092346,0.08463817834854126
5,1,joint_score,local,4,0.8207607269287109,0.7827282547950745,0.3277930021286011,0.7121084332466125
5,1,joint_score,local,5,-0.04238589107990265,-0.2378847301006317,0.3277930021286011,-0.3030979633331299
5,2,analytic,global,0,-0.15440891683101654,-0.10075272619724274,0.27321159839630127,-0.10075272619724274
5,2,analytic,local,1,0.1495147943496704,0.13221095502376556,0.3277930021286011,0.13221095502376556
5,2,analytic,local,2,-0.09377116709947586,-0.15456520020961761,0.3277930021286011,-0.15456520020961761
5,2,analytic,local,3,0.1930929720401764,0.30658191442489624,0.32779303193092346,0.30658191442489624
5,2,analytic,local,4,0.07709641754627228,0.0645701214671135,0.3277930021286011,0.0645701214671135
5,2,analytic,local,5,-0.8342992067337036,-0.4054713249206543,0.3277930021286011,-0.4054713249206543
5,2,old_score,global,0,-0.15440891683101654,-0.10075272619724274,0.27321159839630127,-0.100641630589962
5,2,old_score,local,1,0.1495147943496704,0.13221095502376556,0.3277930021286011,0.13110068440437317
5,2,old_score,local,2,-0.09377116709947586,-0.15456520020961761,0.3277930021286011,-0.1541324257850647
5,2,old_score,local,3,0.1930929720401764,0.30658191442489624,0.32779303193092346,0.3045334219932556
5,2,old_score,local,4,0.07709641754627228,0.0645701214671135,0.3277930021286011,0.06382381916046143
5,2,old_score,local,5,-0.8342992067337036,-0.4054713249206543,0.3277930021286011,-0.4036887586116791
5,2,joint_score,global,0,-0.15440891683101654,-0.10075272619724274,0.27321159839630127,-0.12141945958137512
5,2,joint_score,local,1,0.1495147943496704,0.13221095502376556,0.3277930021286011,0.14866498112678528
5,2,joint_score,local,2,-0.09377116709947586,-0.15456520020961761,0.3277930021286011,-0.13659211993217468
5,2,joint_score,local,3,0.1930929720401764,0.30658191442489624,0.32779303193092346,0.32211238145828247
5,2,joint_score,local,4,0.07709641754627228,0.0645701214671135,0.3277930021286011,0.08138249069452286
5,2,joint_score,local,5,-0.8342992067337036,-0.4054713249206543,0.3277930021286011,-0.38616955280303955
5,3,analytic,global,0,0.32351893186569214,0.13746029138565063,0.27321159839630127,0.13746029138565063
5,3,analytic,local,1,0.14742626249790192,0.1501348912715912,0.3277930021286011,0.1501348912715912
5,3,analytic,local,2,-0.664179265499115,-0.2661718726158142,0.3277930021286011,-0.2661718726158142
5,3,analytic,local,3,0.9332287907600403,0.9123902320861816,0.32779303193092346,0.9123902320861816
5,3,analytic,local,4,-0.3912428617477417,-0.5480576157569885,0.3277930021286011,-0.5480576157569885
5,3,analytic,local,5,-0.5406906008720398,-0.17097434401512146,0.3277930021286011,-0.17097434401512146
5,3,old_score,global,0,0.32351893186569214,0.13746029138565063,0.27321159839630127,0.10587634146213531
5,3,old_score,local,1,0.14742626249790192,0.1501348912715912,0.3277930021286011,0.17641767859458923
5,3,old_score,local,2,-0.664179265499115,-0.2661718726158142,0.3277930021286011,-0.23766067624092102
5,3,old_score,local,3,0.9332287907600403,0.9123902320861816,0.32779303193092346,0.934592068195343
5,3,old_score,local,4,-0.3912428617477417,-0.5480576157569885,0.3277930021286011,-0.5180375576019287
5,3,old_score,local,5,-0.5406906008720398,-0.17097434401512146,0.3277930021286011,-0.14297260344028473
5,3,joint_score,global,0,0.32351893186569214,0.13746029138565063,0.27321159839630127,0.06154794245958328
5,3,joint_score,local,1,0.14742626249790192,0.1501348912715912,0.3277930021286011,0.2138642817735672
5,3,joint_score,local,2,-0.664179265499115,-0.2661718726158142,0.3277930021286011,-0.20024022459983826
5,3,joint_score,local,3,0.9332287907600403,0.9123902320861816,0.32779303193092346,0.9720867872238159
5,3,joint_score,local,4,-0.3912428617477417,-0.5480576157569885,0.3277930021286011,-0.480634868144989
5,3,joint_score,local,5,-0.5406906008720398,-0.17097434401512146,0.3277930021286011,-0.10554619878530502
5,4,analytic,global,0,0.2747957706451416,0.48299404978752136,0.27321159839630127,0.48299404978752136
5,4,analytic,local,1,1.203932762145996,0.9526631236076355,0.3277930021286011,0.9526631236076355
5,4,analytic,local,2,0.03335801512002945,0.0967298224568367,0.3277930021286011,0.0967298224568367
5,4,analytic,local,3,0.8169571757316589,0.22784222662448883,0.32779303193092346,0.22784222662448883
5,4,analytic,local,4,-1.5253205299377441,-1.1369038820266724,0.3277930021286011,-1.1369038820266724
5,4,analytic,local,5,0.19874747097492218,0.13135327398777008,0.3277930021286011,0.13135327398777008
5,4,old_score,global,0,0.2747957706451416,0.48299404978752136,0.27321159839630127,0.45553088188171387
5,4,old_score,local,1,1.203932762145996,0.9526631236076355,0.3277930021286011,0.972212553024292
5,4,old_score,local,2,0.03335801512002945,0.0967298224568367,0.3277930021286011,0.12085865437984467
